variant,dataset,repeat,num_workers,batch_size,device,stage,calls,ms_per_call,pct
timed,si_large,0,0,8,cuda,forward,72,77.26,20.9
timed,si_large,0,0,8,cuda,group_and_join,96,1.38,0.5
timed,si_large,0,0,8,cuda,h2d,72,2.72,0.7
timed,si_large,0,0,8,cuda,loader,72,75.06,20.3
timed,si_large,0,0,8,cuda,loss,72,1.46,0.4
timed,si_large,0,0,8,cuda,optimizer,72,1.73,0.5
timed,si_large,0,0,8,cuda,serialize,96,37.16,13.4
timed,si_large,0,0,8,cuda,step,72,294.92,79.7
timed,si_large,0,0,8,cuda,transforms,96,28.6,10.3
timed,si_large,0,0,8,cuda,transforms/apply_random_augmentations,72,3.07,0.8
timed,si_large,0,0,8,cuda,transforms/transform,384,6.56,9.5
timed,si_large,0,0,8,cuda,unpack,72,33.32,9.0
pinned,qm9,0,0,8,cuda,backward,60,12.23,28.3
pinned,qm9,0,0,8,cuda,forward,60,9.71,22.5
pinned,qm9,0,0,8,cuda,group_and_join,78,1.49,4.5
pinned,qm9,0,0,8,cuda,h2d,60,2.08,4.8
pinned,qm9,0,0,8,cuda,loader,60,11.85,27.4
pinned,qm9,0,0,8,cuda,loss,60,1.85,4.3
pinned,qm9,0,0,8,cuda,optimizer,60,2.08,4.8
pinned,qm9,0,0,8,cuda,serialize,78,1.95,5.9
pinned,qm9,0,0,8,cuda,step,60,31.36,72.6
pinned,qm9,0,0,8,cuda,transforms,78,6.74,20.3
pinned,qm9,0,0,8,cuda,transforms/apply_random_augmentations,60,2.69,6.2
pinned,qm9,0,0,8,cuda,transforms/transform,312,1.15,13.9
pinned,qm9,0,0,8,cuda,unpack,60,1.09,2.5
pinned,qm9,0,0,8,cuda,backward,60,15.32,33.5
pinned,qm9,0,0,8,cuda,forward,60,9.42,20.6
pinned,qm9,0,0,8,cuda,group_and_join,78,1.5,4.3
